Kreise_Code,year,EU_Code,gdppc,ln_gdppc,ln_gdppc.d1,tas,tas2,prec,prec2,full05_colddays_f1,full95_hotdays_f1,full05_colddays_f2,full95_hotdays_f2,sq95_hotdays_f1,sq05_colddays_f1,sq95_hotdays_f2,sq05_colddays_f2,full95_wetweeks_f1,full05_dryweeks_f1,full00_dryweeks_f1,sq95_wetweeks_f1,sq05_dryweeks_f1,full95_wetweeks_f2,full05_dryweeks_f2,sq95_wetweeks_f2,sq05_dryweeks_f2,full_mean_precpd,full_std_precpd,sq_mean_precpd,sq_std_precpd
1001,1990.0,DEF01,45871.0,10.73358838809481,,9.709841712287782,94.28102607768372,10.545885820608277,111.21570774130667,0.0,23.0,0.0,23.0,61.0,7.0,56.0,8.0,5.0,4.0,2.0,4.0,16.0,5.0,4.0,4.0,6.0,4.3578040581025945,6.066251916146949,4.459391925343914,1.640128515008737
1001,1991.0,DEF01,45863.0,10.733413970757285,-0.00017441733752576738,8.561894937660174,73.30604492353092,8.7750346025422,77.00123227581297,11.0,26.0,9.0,25.0,33.0,7.0,31.0,5.0,6.0,2.0,0.0,7.0,8.0,6.0,2.0,6.0,4.0,3.848699387079912,5.4251415636607705,3.861432200977907,0.2857702065622523
1001,1992.0,DEF01,42941.0,10.667582359470872,-0.0658316112864128,9.493148396218126,90.11986647261878,8.414303219143887,70.80049866369518,2.0,42.0,2.0,42.0,43.0,1.0,41.0,1.0,1.0,8.0,5.0,2.0,32.0,1.0,8.0,2.0,8.0,3.7231430173203055,5.092655569860376,3.645115502129205,1.1211553759896369
1001,1993.0,DEF01,41655.0,10.63717668840901,-0.030405671061862094,8.085665390874167,65.3779848131803,9.34220536613247,87.27680110299431,11.0,5.0,10.0,5.0,19.0,17.0,19.0,13.0,4.0,4.0,2.0,3.0,16.0,4.0,4.0,3.0,5.0,4.079565662066583,4.88756120965654,3.963901104021108,0.8765803981020971
1001,1994.0,DEF01,41849.0,10.64182318076953,0.004646492360519616,9.170459211619056,84.0973221519688,10.572109839124304,111.76950645050894,8.0,37.0,6.0,37.0,33.0,3.0,32.0,1.0,4.0,4.0,2.0,5.0,16.0,4.0,4.0,4.0,4.0,4.423476920135694,5.985888708786238,4.498803719757862,1.2708821989920354
1001,1995.0,DEF01,41226.0,10.62682440425913,-0.014998776510399381,8.802580290722368,77.48541977461389,8.002107516566811,64.03372470669505,15.0,41.0,14.0,41.0,49.0,16.0,45.0,14.0,3.0,9.0,7.0,6.0,36.0,3.0,10.0,6.0,10.0,4.041468442710509,4.932910526924922,4.1270176578556175,1.5678804962104962
1001,1996.0,DEF01,40416.0,10.606981025150217,-0.019843379108912984,7.185977920071343,51.638278667752864,5.618076753630917,31.562786409688105,35.0,24.0,34.0,23.0,17.0,20.0,13.0,19.0,1.0,4.0,2.0,1.0,16.0,1.0,4.0,1.0,4.0,2.9883386987398506,4.233856122304747,2.8589615596519597,1.122924482314005
1001,1997.0,DEF01,42767.0,10.663522056137511,0.056541030987293794,9.013197009446577,81.23772033109668,8.004563986899951,64.07304462037564,12.0,50.0,13.0,49.0,56.0,8.0,44.0,8.0,2.0,5.0,3.0,2.0,20.0,2.0,6.0,2.0,4.0,3.5894905770851824,6.251439214807024,3.661807090946555,0.929742472586186
1001,1998.0,DEF01,45022.0,10.714906538174109,0.051384482036597845,8.77690210717941,77.03401059901037,11.937177098311173,142.49619707644476,9.0,11.0,9.0,10.0,30.0,10.0,26.0,10.0,11.0,1.0,0.0,10.0,4.0,10.0,1.0,10.0,0.0,4.608948686606624,5.685180873069737,4.625608663914205,0.6210390958879309
1001,1999.0,DEF01,42703.0,10.662024454360006,-0.05288208381410264,9.423472374712931,88.80183159697778,11.171104251638075,124.79357020096629,8.0,36.0,8.0,31.0,29.0,2.0,20.0,2.0,7.0,4.0,2.0,7.0,16.0,6.0,4.0,5.0,4.0,4.398072540014991,5.235153784931974,4.43734994849774,0.8120822372820081
1001,2000.0,DEF01,39484.0,10.58365080553778,-0.07837364882222708,9.619791804808536,92.54039436786148,8.549728723235752,73.09786124092244,2.0,12.0,2.0,8.0,26.0,2.0,15.0,2.0,3.0,4.0,3.0,4.0,16.0,3.0,4.0,2.0,4.0,3.326742693866054,4.560272759802116,3.3165076185170563,0.18214979366192813
1001,2001.0,DEF01,38693.0,10.563413984104404,-0.02023682143337524,8.723811598110215,76.10488879932231,9.3045705168731,86.57503250346416,13.0,31.0,13.0,25.0,37.0,10.0,32.0,10.0,2.0,2.0,0.0,4.0,8.0,2.0,2.0,3.0,2.0,3.5786809680281157,5.011235216485979,3.558096570843258,1.5040885588578092
1001,2002.0,DEF01,40885.0,10.618518526596077,0.05510454249167296,9.515458493521292,90.54395034192648,10.860932710263985,117.95985933688216,3.0,52.0,4.0,44.0,55.0,4.0,34.0,6.0,4.0,4.0,2.0,7.0,16.0,4.0,4.0,7.0,4.0,4.397138749094732,7.198596383247769,4.415421194497834,0.7059319904703633
1001,2003.0,DEF01,41591.0,10.635639076689303,0.017120550093226328,9.17552869451822,84.19032682392721,6.82801054295928,46.62172797476308,12.0,47.0,16.0,38.0,35.0,10.0,23.0,10.0,2.0,7.0,5.0,3.0,28.0,2.0,7.0,2.0,7.0,3.41400527147964,4.990754322164186,3.40322449543696,0.6240144289870784
1001,2004.0,DEF01,43708.0,10.685286430690637,0.049647354001333355,9.016656346623876,81.30009167311262,10.398402521533503,108.12677499983432,4.0,24.0,6.0,16.0,30.0,1.0,22.0,1.0,4.0,2.0,1.0,5.0,8.0,4.0,3.0,4.0,3.0,4.093859260446262,5.940203923596359,4.132190616159769,0.9174905344537987
1001,2005.0,DEF01,44211.0,10.696728905881372,0.01144247519073538,9.177111503451492,84.2193755467817,8.926321730430567,79.67921963515695,6.0,33.0,6.0,25.0,39.0,2.0,33.0,4.0,3.0,5.0,2.0,6.0,20.0,3.0,5.0,3.0,5.0,3.782339716284137,5.786826497865024,3.798869913116068,0.6730065143542716
1001,2006.0,DEF01,46008.0,10.73657057339359,0.03984166751221885,9.85717862283868,97.16397040254787,8.773800933088319,76.97958281346146,12.0,53.0,15.0,38.0,55.0,2.0,48.0,2.0,2.0,5.0,3.0,4.0,20.0,2.0,6.0,3.0,5.0,3.831354119252541,4.791227088877399,3.769698344818103,0.9768811941852771
1001,2007.0,DEF01,45725.0,10.730400473259067,-0.006170100134523793,9.810740561746265,96.25063036989336,11.149990966371044,124.32229855015584,3.0,24.0,4.0,18.0,48.0,1.0,24.0,1.0,5.0,5.0,3.0,7.0,20.0,5.0,5.0,5.0,6.0,4.847822159291759,6.54279275691898,4.9181145722974,1.4075543406014785
1001,2008.0,DEF01,46410.0,10.745270232235221,0.014869758976153946,9.500600556533094,90.26141093479691,8.95104255759607,80.12116286789599,1.0,21.0,3.0,14.0,36.0,2.0,17.0,7.0,3.0,4.0,3.0,2.0,16.0,2.0,4.0,1.0,4.0,3.683556608064229,4.567652425931933,3.57238801851034,0.9085011910991793
1001,2009.0,DEF01,43954.0,10.690898911486157,-0.05437132074906437,9.05964348004251,82.07713998547676,9.279867026489017,86.11593202931807,10.0,32.0,12.0,20.0,12.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,24.0,3.0,6.0,4.0,6.0,4.256819736921568,5.755688976270416,4.288323036803545,1.2514717946053526
1001,2010.0,DEF01,44086.0,10.693897550716283,0.002998639230126443,7.3926567539079455,54.65137388110076,9.612233489225178,92.39503265138202,50.0,27.0,62.0,19.0,30.0,30.0,24.0,43.0,4.0,2.0,2.0,5.0,8.0,3.0,3.0,3.0,3.0,4.310418605033714,5.583577071921886,4.294139451100761,0.8327848733346438
1001,2011.0,DEF01,43891.0,10.689464566656033,-0.004432984060249723,9.118620031666946,83.14923128191771,9.983406852306748,99.66841237868532,9.0,15.0,13.0,9.0,23.0,1.0,14.0,3.0,4.0,8.0,7.0,5.0,32.0,4.0,9.0,4.0,9.0,5.0421246728821965,7.118487771744534,4.720449496457982,2.160363437166905
1001,2012.0,DEF01,44025.0,10.692512933364407,0.0030483667083736066,8.564124074103821,73.34422115664464,9.368047233331607,87.76030896593201,18.0,18.0,21.0,8.0,31.0,22.0,16.0,29.0,3.0,3.0,1.0,2.0,12.0,1.0,3.0,2.0,4.0,3.93615429971916,4.982596285068623,3.9201798016338714,0.6592296728609797
