Kreise_Code,EU_Code,year,gva,wrk,gvapw_GI,ln_gvapw_GI,ln_gvapw_GI.d1
1001,DEF01,1995.0,496.1,14.86,33.38492597577389,3.50810448001739,
1001,DEF01,1996.0,493.9,14.93,33.08104487608841,3.4989604559954803,-0.009144024021909836
1001,DEF01,1997.0,503.6,14.67,34.328561690524886,3.535977710015302,0.0370172540198217
1001,DEF01,1998.0,519.5,14.58,35.631001371742116,3.57321608395877,0.03723837394346807
1001,DEF01,1999.0,527.5,14.71,35.8599592114208,3.579621330736875,0.006405246778105056
1001,DEF01,2000.0,545.5,14.78,36.90798376184033,3.6084278897530697,0.028806559016194555
1001,DEF01,2001.0,564.5,14.44,39.09279778393352,3.6659382501250364,0.05751036037196666
1001,DEF01,2002.0,550.2,14.13,38.938428874734605,3.6619816517940382,-0.003956598330998151
1001,DEF01,2003.0,563.8,13.82,40.795947901591894,3.708582760340488,0.04660110854644994
1001,DEF01,2004.0,600.4,13.79,43.53879622915156,3.7736524079540965,0.06506964761360834
1001,DEF01,2005.0,619.7,14.29,43.36599020293912,3.769675498026286,-0.003976909927810635
1001,DEF01,2006.0,695.6,15.09,46.09675281643473,3.8307425097003707,0.06106701167408479
1001,DEF01,2007.0,723.2,15.64,46.24040920716113,3.8338540739608016,0.00311156426043091
1001,DEF01,2008.0,744.1,15.48,48.06847545219638,3.8726265662416344,0.03877249228083279
1001,DEF01,2009.0,708.7,15.42,45.95979247730221,3.827766937681027,-0.04485962856060732
1001,DEF01,2010.0,659.4,15.06,43.78486055776892,3.779288108265883,-0.04847882941514392
1001,DEF01,2011.0,641.6,14.87,43.147276395427035,3.764619296080241,-0.0146688121856422
1001,DEF01,2012.0,662.3,15.18,43.62977602108037,3.77573985352345,0.011120557443208945
1001,DEF01,2013.0,648.4,15.77,41.11604311984781,3.716398388886574,-0.05934146463687595
1001,DEF01,2014.0,654.9,15.83,41.37081490840177,3.7225756783310873,0.006177289444513345
1001,DEF01,2015.0,660.1,15.87,41.594202898550726,3.7279608041564076,0.005385125825320358
1001,DEF01,2016.0,660.5,16.0,41.28125,3.7204084017225987,-0.007552402433808947
1001,DEF01,2017.0,700.2,16.01,43.73516552154903,3.778152481511942,0.05774407978934315
1001,DEF01,2018.0,732.3,16.3,44.92638036809816,3.8050251582543075,0.02687267674236571
1001,DEF01,2019.0,755.3,16.33,46.25229638701776,3.8341111143370283,0.0290859560827208
1002,DEF02,1995.0,1326.0,37.59,35.275339185953705,3.563184113169721,
1002,DEF02,1996.0,1320.1,37.35,35.34404283801874,3.5651298587078872,0.001945745538166399
1002,DEF02,1997.0,1345.9,36.65,36.72305593451569,3.6034047849070094,0.038274926199122206
1002,DEF02,1998.0,1388.5,36.21,38.34576083954708,3.6466439829693043,0.043239198062294815
1002,DEF02,1999.0,1410.0,36.39,38.746908491343774,3.6570509717481454,0.010406988778841164
1002,DEF02,2000.0,1458.0,37.29,39.09895414320193,3.666095718377874,0.00904474662972854
1002,DEF02,2001.0,1475.7,37.0,39.883783783783784,3.6859698198251793,0.019874101447305392
1002,DEF02,2002.0,1444.9,36.16,39.95851769911505,3.68784185847559,0.0018720386504105235
1002,DEF02,2003.0,1430.9,35.21,40.639023004828175,3.704728762745728,0.01688690427013828
1002,DEF02,2004.0,1553.6,35.36,43.93665158371041,3.7827488597676178,0.07802009702188961
1002,DEF02,2005.0,1627.0,35.38,45.986433013001694,3.8283464184873983,0.04559755871978055
1002,DEF02,2006.0,1770.9,35.95,49.26008344923505,3.8971140867476977,0.06876766826029934
1002,DEF02,2007.0,1800.6,36.37,49.50783612867748,3.902130962675479,0.005016875927781328
1002,DEF02,2008.0,1872.2,35.32,53.006795016987546,3.970420113201885,0.06828915052640605
1002,DEF02,2009.0,1805.9,35.1,51.45014245014245,3.9406132309864774,-0.029806882215407615
1002,DEF02,2010.0,1691.1,35.24,47.98808172531214,3.87095268268766,-0.06966054829881729
1002,DEF02,2011.0,1691.8,35.7,47.389355742296914,3.858397641084321,-0.012555041603339312
1002,DEF02,2012.0,1775.3,36.14,49.12285556170448,3.8943244165486695,0.03592677546434864
1002,DEF02,2013.0,1769.5,36.79,48.097309051372655,3.873226230668835,-0.021098185879834475
1002,DEF02,2014.0,1747.4,37.03,47.18876586551445,3.8541558529384727,-0.019070377730362242
1002,DEF02,2015.0,1728.5,36.9,46.84281842818428,3.8467977083151976,-0.007358144623275109
1002,DEF02,2016.0,1706.4,36.84,46.31921824104234,3.8355569557700346,-0.01124075254516299
1002,DEF02,2017.0,1756.1,36.96,47.51352813852814,3.8610144734083254,0.02545751763829074
1002,DEF02,2018.0,1777.1,36.7,48.422343324250676,3.8799613461309157,0.018946872722590324
1002,DEF02,2019.0,1804.3,37.17,48.541834813021254,3.882425999605092,0.002464653474176348
1003,DEF03,1995.0,1722.4,31.09,55.40045030556449,4.014587721979491,
1003,DEF03,1996.0,1714.8,31.17,55.01443695861405,4.007595640944576,-0.00699208103491511
1003,DEF03,1997.0,1748.3,30.59,57.152664269369076,4.045726008040791,0.03813036709621542
1003,DEF03,1998.0,1803.6,30.69,58.7683284457478,4.073603077915284,0.02787706987449301
1003,DEF03,1999.0,1831.6,31.19,58.72394998396921,4.0728476501632285,-0.0007554277520558372
1003,DEF03,2000.0,1894.0,31.52,60.088832487309645,4.095824008756345,0.022976358593116863
1003,DEF03,2001.0,2003.5,31.0,64.62903225806451,4.168663725591053,0.07283971683470725
1003,DEF03,2002.0,1908.0,30.14,63.304578633045786,4.147957658809882,-0.020706066781170485
1003,DEF03,2003.0,1960.7,29.71,65.99461460787613,4.18957314184686,0.04161548303697771
1003,DEF03,2004.0,2032.1,29.49,68.9081044421838,4.232773797258713,0.04320065541185336
1003,DEF03,2005.0,2199.4,29.49,74.58121397083758,4.3118886520496496,0.07911485479093638
1003,DEF03,2006.0,2190.7,29.77,73.5875041988579,4.298475231413769,-0.01341342063588069
1003,DEF03,2007.0,2239.6,30.13,74.33123133089944,4.308531204332528,0.01005597291875926
1003,DEF03,2008.0,2306.3,30.49,75.64119383404396,4.326001026770464,0.01746982243793571
1003,DEF03,2009.0,2176.7,30.05,72.4359400998336,4.282702586439575,-0.04329844033088914
1003,DEF03,2010.0,2163.0,29.86,72.43804420629606,4.2827316338420145,2.9047402439807968e-05
1003,DEF03,2011.0,2111.1,30.14,70.04313205043131,4.249111224442263,-0.033620409399751416
1003,DEF03,2012.0,2074.9,30.33,68.41081437520607,4.225530917031916,-0.02358030741034689
1003,DEF03,2013.0,2214.2,30.33,73.00362677217277,4.2905091217248765,0.06497820469296034
1003,DEF03,2014.0,1992.0,30.82,64.6333549643089,4.168730608252574,-0.12177851347230284
1003,DEF03,2015.0,2234.5,30.88,72.36075129533678,4.281664043216931,0.11293343496435693
1003,DEF03,2016.0,1902.3,30.89,61.58303658141793,4.120386452443605,-0.16127759077332549
1003,DEF03,2017.0,2437.2,31.25,77.9904,4.356585742191928,0.23619928974832316
1003,DEF03,2018.0,2471.7,31.66,78.07012002526847,4.357607397536788,0.001021655344859873
1003,DEF03,2019.0,2538.3,32.05,79.19812792511702,4.371952661231886,0.014345263695098254
1004,DEF04,1995.0,488.7,13.49,36.22683469236471,3.5898001340564445,
1004,DEF04,1996.0,486.6,13.52,35.99112426035503,3.5832723597346043,-0.006527774321840152
1004,DEF04,1997.0,496.1,13.24,37.46978851963746,3.623534968798141,0.040262609063536736
1004,DEF04,1998.0,511.8,13.12,39.00914634146342,3.6637961402097456,0.04026117141160457
1004,DEF04,1999.0,519.7,12.98,40.038520801232664,3.6898420107384524,0.02604587052870677
1004,DEF04,2000.0,537.4,13.31,40.375657400450784,3.6982270637743704,0.008385053035917966
1004,DEF04,2001.0,559.0,13.4,41.71641791044776,3.7308947661982335,0.032667702423863076
1004,DEF04,2002.0,533.6,13.03,40.95165003837299,3.7123921034646603,-0.01850266273357315
1004,DEF04,2003.0,550.1,12.87,42.742812742812745,3.7552010582733772,0.04280895480871694
1004,DEF04,2004.0,547.5,12.52,43.73003194888179,3.7780350960187032,0.022834037745325997
1004,DEF04,2005.0,555.2,12.55,44.2390438247012,3.789607743614802,0.011572647596098662
1004,DEF04,2006.0,608.9,12.79,47.60750586395622,3.8629904350237774,0.07338269140897546
1004,DEF04,2007.0,624.1,13.04,47.860429447852766,3.8682890554414904,0.005298620417713007
1004,DEF04,2008.0,689.5,13.68,50.402046783625735,3.9200317850389523,0.051742729597461956
1004,DEF04,2009.0,678.1,14.08,48.16051136363637,3.8745394189599,-0.04549236607905227
1004,DEF04,2010.0,625.0,14.11,44.29482636428065,3.790867883871679,-0.08367153508822112
1004,DEF04,2011.0,676.4,14.6,46.32876712328767,3.8357630883101343,0.044895204438455405
1004,DEF04,2012.0,659.9,14.68,44.952316076294274,3.8056022852030065,-0.030160803107127876
1004,DEF04,2013.0,687.5,14.41,47.70992366412214,3.8651394195292954,0.05953713432628893
1004,DEF04,2014.0,715.4,14.7,48.666666666666664,3.884994333040227,0.019854913510931382
