Kreise_Code,EU_Code,year,gva,wrk,gvapw_BE,ln_gvapw_BE,ln_gvapw_BE.d1
5566,DEA37,2017.0,3503.8,47.57,73.65566533529535,4.299401062357531,-0.014623214834723619
5566,DEA37,2018.0,3707.5,49.36,75.11142625607779,4.3189726944149545,0.019571632057423294
5566,DEA37,2019.0,3554.8,49.08,72.42868785656073,4.282602462021609,-0.03637023239334525
5570,DEA38,1995.0,2015.2,43.3,46.540415704387996,3.8403210900299563,
5570,DEA38,1996.0,1970.0,42.86,45.9636024265049,3.827849831686603,-0.012471258343353053
5570,DEA38,1997.0,2031.0,42.7,47.56440281030444,3.8620846413458056,0.03423480965920245
5570,DEA38,1998.0,2053.2,43.27,47.45088976195978,3.8596952764493544,-0.0023893648964512515
5570,DEA38,1999.0,2069.6,43.02,48.10785681078568,3.873445507032235,0.013750230582880718
5570,DEA38,2000.0,2188.3,43.8,49.96118721461188,3.911246448277914,0.03780094124567901
5570,DEA38,2001.0,2081.8,37.41,55.648222400427706,4.019050134721313,0.1078036864433991
5570,DEA38,2002.0,2118.4,35.64,59.43883277216611,4.084947763140081,0.06589762841876734
5570,DEA38,2003.0,2167.4,33.68,64.35273159144893,4.1643793821147685,0.07943161897468798
5570,DEA38,2004.0,2212.0,32.46,68.14540973505854,4.22164380055578,0.0572644184410116
5570,DEA38,2005.0,2245.4,32.17,69.79794839912962,4.245604616773744,0.023960816217964087
5570,DEA38,2006.0,2358.2,32.53,72.49308330771595,4.2834911546573124,0.037886537883568217
5570,DEA38,2007.0,2642.4,33.14,79.73445986722993,4.378701862078163,0.09521070742085058
5570,DEA38,2008.0,2516.0,34.12,73.73974208675264,4.300541895196853,-0.07815996688131044
5570,DEA38,2009.0,2157.3,34.15,63.171303074670575,4.145850132759759,-0.1546917624370936
5570,DEA38,2010.0,2438.3,32.8,74.33841463414636,4.308627838762588,0.16277770600282881
5570,DEA38,2011.0,2620.8,33.9,77.30973451327435,4.347819879272346,0.03919204050975811
5570,DEA38,2012.0,2678.5,34.82,76.92418150488226,4.342820280980972,-0.00499959829137353
5570,DEA38,2013.0,2718.9,34.83,78.06201550387597,4.357503581350936,0.014683300369963348
5570,DEA38,2014.0,2660.0,34.55,76.98986975397975,4.343673851562066,-0.013829729788869649
5570,DEA38,2015.0,2605.5,34.72,75.04320276497697,4.31806398455712,-0.025609867004946274
5570,DEA38,2016.0,2660.1,35.0,76.00285714285714,4.330770933564657,0.012706949007537105
5570,DEA38,2017.0,2674.7,35.4,75.55649717514125,4.324880683368439,-0.005890250196218361
5570,DEA38,2018.0,2616.2,35.7,73.2829131652661,4.294327473468533,-0.03055320989990573
