Kreise_Code,EU_Code,year,gva,wrk,gvapw_A,ln_gvapw_A,ln_gvapw_A.d1
9162,DE212,1998.0,35.2,1.12,31.428571428571427,3.447717397297048,0.02359637573295581
9162,DE212,1999.0,38.5,1.1,35.0,3.5553480614894135,0.10763066419236544
9162,DE212,2000.0,38.0,1.1,34.54545454545454,3.542275979922061,-0.013072081567352622
9162,DE212,2001.0,36.1,1.1,32.81818181818182,3.4909826855345103,-0.05129329438755059
9162,DE212,2002.0,42.0,1.05,40.0,3.6888794541139363,0.19789676857942595
9162,DE212,2003.0,44.3,1.07,41.4018691588785,3.723326028577275,0.03444657446333865
9162,DE212,2004.0,43.8,1.05,41.71428571428571,3.7308436532129683,0.007517624635693387
9162,DE212,2005.0,40.4,1.03,39.22330097087379,3.66927098272556,-0.06157267048740822
9162,DE212,2006.0,46.3,0.84,55.11904761904762,4.009495348236966,0.34022436551140567
9162,DE212,2007.0,32.5,0.84,38.69047619047619,3.6555934764804694,-0.35390187175649634
9162,DE212,2008.0,34.3,0.81,42.34567901234567,3.7458663854875467,0.0902729090070773
9162,DE212,2009.0,34.7,0.82,42.31707317073171,3.745190625676652,-0.0006757598108948493
9162,DE212,2010.0,24.9,0.81,30.740740740740737,3.4255888347863146,-0.31960179089033725
9162,DE212,2011.0,31.8,0.8,39.75,3.6826098411003407,0.25702100631402613
9162,DE212,2012.0,33.4,0.8,41.74999999999999,3.731699451296864,0.04908961019652347
9162,DE212,2013.0,31.1,0.82,37.926829268292686,3.635658757909027,-0.09604069338783727
9162,DE212,2014.0,27.4,0.76,36.05263157894736,3.584979859095785,-0.05067889881324206
9162,DE212,2015.0,25.0,0.77,32.467532467532465,3.4802405890026082,-0.10473927009317663
9162,DE212,2016.0,24.9,0.78,31.92307692307692,3.4633291627691616,-0.016911426233446658
9162,DE212,2017.0,24.5,0.71,34.50704225352113,3.5411634264974574,0.07783426372829583
9162,DE212,2018.0,23.1,0.86,26.860465116279073,3.290655507262332,-0.2505079192351256
9162,DE212,2019.0,19.4,0.86,22.55813953488372,3.116095955803866,-0.1745595514584659
9163,DE213,1995.0,3.9,0.23,16.956521739130434,2.8306525231945425,
9163,DE213,1996.0,4.1,0.21,19.523809523809522,2.9716347219749304,0.14098219878038787
9163,DE213,1997.0,4.1,0.2,20.499999999999996,3.020424886144362,0.048790164169431716
9163,DE213,1998.0,4.1,0.19,21.57894736842105,3.071718180531913,0.051293294387551036
9163,DE213,1999.0,4.5,0.19,23.684210526315788,3.164808603597925,0.09309042306601167
9163,DE213,2000.0,4.4,0.2,22.0,3.091042453358316,-0.07376615023960875
9163,DE213,2001.0,4.5,0.19,23.684210526315788,3.164808603597925,0.07376615023960875
9163,DE213,2002.0,5.8,0.19,30.52631578947368,3.4185891243740243,0.25378052077609947
9163,DE213,2003.0,6.4,0.18,35.55555555555556,3.571096418457553,0.1525072940835286
9163,DE213,2004.0,7.3,0.18,40.55555555555556,3.7026727762462723,0.13157635778871946
9163,DE213,2005.0,5.5,0.18,30.555555555555557,3.419546520330352,-0.2831262559159202
9163,DE213,2006.0,8.0,0.19,42.10526315789474,3.740172748501487,0.32062622817113473
9163,DE213,2007.0,6.8,0.18,37.77777777777778,3.631721040273988,-0.10845170822749894
9163,DE213,2008.0,8.5,0.18,47.22222222222222,3.8548645915881976,0.2231435513142097
9163,DE213,2009.0,9.9,0.17,58.23529411764706,4.0644915990724195,0.20962700748422192
9163,DE213,2010.0,6.3,0.16,39.375,3.6731310971457973,-0.3913605019266222
9163,DE213,2011.0,8.0,0.15,53.333333333333336,3.9765615265657175,0.30343042941992016
9163,DE213,2012.0,9.5,0.16,59.375,4.083873262354805,0.10731173578908759
9163,DE213,2013.0,7.9,0.15,52.66666666666667,3.9639827443588573,-0.11989051799594774
9163,DE213,2014.0,9.8,0.14,70.0,4.248495242049359,0.284512497690502
9163,DE213,2015.0,10.1,0.14,72.14285714285714,4.278648280220047,0.030153038170687374
9163,DE213,2016.0,10.4,0.14,74.28571428571428,4.3079186625201595,0.029270382300112807
9163,DE213,2017.0,10.3,0.14,73.57142857142857,4.298256751608423,-0.009661910911736626
9163,DE213,2018.0,8.8,0.14,62.857142857142854,4.140864577856994,-0.157392173751429
9163,DE213,2019.0,7.3,0.14,52.14285714285714,3.953987204527178,-0.1868773733298159
9171,DE214,1995.0,42.4,2.34,18.11965811965812,2.896997432868302,
9171,DE214,1996.0,44.6,2.19,20.36529680365297,3.013832315197609,0.11683488232930728
9171,DE214,1997.0,45.0,2.15,20.930232558139537,3.0411946476307485,0.027362332433139347
9171,DE214,1998.0,44.9,2.16,20.787037037037035,3.0343295730521347,-0.00686507457861385
9171,DE214,1999.0,49.1,2.16,22.73148148148148,3.1237508131044014,0.0894212400522667
9171,DE214,2000.0,48.5,2.2,22.045454545454543,3.0931064375791673,-0.030644375525234135
9171,DE214,2001.0,43.6,2.25,19.37777777777778,2.96412693413866,-0.12897950344050724
9171,DE214,2002.0,42.6,2.14,19.906542056074766,2.9910484242415647,0.026921490102904677
9171,DE214,2003.0,43.8,1.73,25.317919075144506,3.231512408872713,0.24046398463114826
9171,DE214,2004.0,55.5,1.72,32.26744186046512,3.474058729927027,0.24254632105431417
9171,DE214,2005.0,38.6,1.69,22.840236686390533,3.128523747535803,-0.34553498239122415
9171,DE214,2006.0,43.4,1.66,26.144578313253014,3.2636418387379074,0.13511809120210438
9171,DE214,2007.0,43.3,1.64,26.402439024390244,3.2734563931723373,0.009814554434429912
9171,DE214,2008.0,46.6,1.64,28.414634146341466,3.346904299295493,0.07344790612315588
9171,DE214,2009.0,41.8,1.67,25.02994011976048,3.220072713102047,-0.12683158619344637
9171,DE214,2010.0,40.1,1.62,24.753086419753085,3.2089501850682307,-0.011122528033816081
9171,DE214,2011.0,44.9,1.61,27.888198757763973,3.328203615751837,0.11925343068360617
9171,DE214,2012.0,40.9,1.56,26.217948717948715,3.26644424178731,-0.0617593739645268
9171,DE214,2013.0,38.2,1.53,24.96732026143791,3.2175677802081855,-0.04887646157912462
9171,DE214,2014.0,45.6,1.69,26.982248520710062,3.2951791875853584,0.07761140737717298
9171,DE214,2015.0,39.4,1.64,24.024390243902438,3.179069574467781,-0.11610961311757739
9171,DE214,2016.0,45.3,1.68,26.964285714285715,3.294513239073821,0.11544366460603994
9171,DE214,2017.0,51.7,1.66,31.144578313253014,3.438640179145932,0.1441269400721108
9171,DE214,2018.0,43.9,1.62,27.098765432098762,3.299488170836833,-0.1391520083090989
9171,DE214,2019.0,58.1,1.84,31.57608695652174,3.4524000922369713,0.15291192140013843
9172,DE215,1995.0,24.8,2.14,11.588785046728972,2.4500378241371763,
9172,DE215,1996.0,26.1,1.95,13.384615384615385,2.5941059417529924,0.14406811761581606
9172,DE215,1997.0,26.3,1.86,14.139784946236558,2.648992451458609,0.05488650970561659
9172,DE215,1998.0,26.3,1.8,14.61111111111111,2.6817822742815998,0.03278982282299081
9172,DE215,1999.0,28.7,1.76,16.30681818181818,2.791583313715515,0.10980103943391528
9172,DE215,2000.0,28.4,1.72,16.511627906976745,2.8040648543417985,0.012481540626283483
9172,DE215,2001.0,28.7,1.68,17.083333333333332,2.8381033293504077,0.034038475008609126
9172,DE215,2002.0,32.6,1.62,20.123456790123456,3.001886139128369,0.16378280977796145
9172,DE215,2003.0,38.2,1.58,24.17721518987342,3.1854106685736543,0.1835245294452852
9172,DE215,2004.0,49.1,1.56,31.474358974358974,3.449173213539029,0.2637625449653749
9172,DE215,2005.0,38.8,1.54,25.19480519480519,3.22663783020369,-0.22253538333533918
9172,DE215,2006.0,45.9,1.53,30.0,3.4011973816621555,0.17455955145846547
9172,DE215,2007.0,43.0,1.52,28.289473684210527,3.3424897808353773,-0.05870760082677817
9172,DE215,2008.0,49.2,1.5,32.800000000000004,3.4904285153900982,0.14793873455472095
9172,DE215,2009.0,45.3,1.45,31.241379310344826,3.441743476056505,-0.04868503933359314
9172,DE215,2010.0,35.7,1.42,25.14084507042254,3.2244938171724242,-0.21724965888408088
9172,DE215,2011.0,44.1,1.4,31.500000000000004,3.4499875458315876,0.2254937286591634
9172,DE215,2012.0,43.8,1.34,32.6865671641791,3.4869642034195802,0.03697665758799262
9172,DE215,2013.0,38.7,1.29,30.0,3.4011973816621555,-0.08576682175742478
9172,DE215,2014.0,47.5,1.24,38.306451612903224,3.64561833142365,0.24442094976149464
9172,DE215,2015.0,46.4,1.21,38.34710743801653,3.64667909962356,0.0010607681999097451
9172,DE215,2016.0,46.9,1.2,39.083333333333336,3.6656961186582793,0.019017019034719418
9172,DE215,2017.0,46.9,1.16,40.43103448275862,3.6995976703339606,0.03390155167568132
9172,DE215,2018.0,42.6,1.13,37.69911504424779,3.6296366205510755,-0.06996104978288509
9172,DE215,2019.0,36.7,1.14,32.192982456140356,3.4717484926541204,-0.15788812789695506
9173,DE216,1995.0,32.4,2.81,11.530249110320284,2.444973939452629,
9173,DE216,1996.0,34.1,2.58,13.217054263565892,2.581507985355945,0.13653404590331597
9173,DE216,1997.0,34.4,2.49,13.815261044176705,2.625773853902736,0.044265868546791154
9173,DE216,1998.0,34.3,2.48,13.830645161290322,2.6268867939950034,0.001112940092267145
9173,DE216,1999.0,37.6,2.46,15.284552845528456,2.7268427004515776,0.09995590645657426
9173,DE216,2000.0,37.1,2.46,15.08130081300813,2.713455619669118,-0.013387080782459648
9173,DE216,2001.0,35.7,2.36,15.1271186440678,2.716489069748075,0.003033450078957056
9173,DE216,2002.0,39.8,2.26,17.61061946902655,2.8685020990061973,0.15201302925812232
9173,DE216,2003.0,43.6,2.2,19.818181818181817,2.986599789990718,0.11809769098452083
9173,DE216,2004.0,55.4,2.2,25.18181818181818,3.226122233388968,0.23952244339824968
9173,DE216,2005.0,43.3,2.2,19.68181818181818,2.979695274644174,-0.2464269587447938
9173,DE216,2006.0,50.8,2.23,22.780269058295964,3.1258947691124086,0.14619949446823455
9173,DE216,2007.0,48.6,2.21,21.990950226244344,3.0906310153767866,-0.03526375373562196
9173,DE216,2008.0,57.8,2.19,26.39269406392694,3.2730872318499222,0.1824562164731356
9173,DE216,2009.0,54.3,2.14,25.373831775700932,3.2337183979061295,-0.03936883394379276
9173,DE216,2010.0,45.7,2.07,22.077294685990342,3.0945496906228813,-0.13916870728324815
9173,DE216,2011.0,55.3,2.01,27.512437810945276,3.3146381864573047,0.22008849583442336
9173,DE216,2012.0,55.4,1.95,28.41025641025641,3.3467502211775826,0.032112034720277904
