Kreise_Code,EU_Code,year,gva,wrk,gvapw_F,ln_gvapw_F,ln_gvapw_F.d1
3453,DE948,2006.0,488.9,6.89,70.95791001451379,4.262086884559032,0.00453781009933607
3453,DE948,2007.0,468.4,7.14,65.60224089635854,4.183609855372069,-0.07847702918696342
3453,DE948,2008.0,448.6,7.17,62.56624825662483,4.136225967474579,-0.04738388789748971
3453,DE948,2009.0,570.7,7.44,76.70698924731182,4.339992828697662,0.20376686122308296
3453,DE948,2010.0,620.7,7.62,81.45669291338584,4.400071503721052,0.06007867502338993
3453,DE948,2011.0,558.3,8.03,69.52677459526774,4.241711924357644,-0.15835957936340783
3453,DE948,2012.0,526.3,8.13,64.73554735547354,4.170310468800014,-0.07140145555763056
3453,DE948,2013.0,505.7,8.19,61.74603174603175,4.123029710220959,-0.04728075857905445
3453,DE948,2014.0,523.8,8.49,61.69611307420494,4.1222209317503555,-0.0008087784706036771
3453,DE948,2015.0,500.2,8.59,58.230500582072175,4.064409282447355,-0.057811649303000756
3453,DE948,2016.0,517.7,8.52,60.76291079812207,4.106979583066631,0.04257030061927658
3453,DE948,2017.0,519.7,8.71,59.6670493685419,4.088779931149984,-0.018199651916646964
3453,DE948,2018.0,501.6,8.94,56.10738255033558,4.027267400133288,-0.06151253101669596
3453,DE948,2019.0,490.2,9.05,54.16574585635359,3.9920487133821774,-0.03521868675111106
3454,DE949,1995.0,1111.8,14.41,77.15475364330325,4.345813192507938,
3454,DE949,1996.0,1049.5,14.04,74.75071225071225,4.314158740663022,-0.031654451844915776
3454,DE949,1997.0,1027.7,13.72,74.90524781341108,4.316223952333289,0.002065211670266187
3454,DE949,1998.0,993.9,13.49,73.67679762787249,4.299687927754295,-0.01653602457899339
3454,DE949,1999.0,986.3,13.2,74.71969696969697,4.313743738367623,0.014055810613327502
3454,DE949,2000.0,963.3,13.22,72.86686838124054,4.2886340553400375,-0.025109683027585206
3454,DE949,2001.0,913.8,13.16,69.43768996960486,4.240429803232,-0.04820425210803769
3454,DE949,2002.0,1048.0,12.64,82.91139240506328,4.417772476162276,0.17734267293027628
3454,DE949,2003.0,1014.1,13.5,75.11851851851851,4.319067113173567,-0.09870536298870913
3454,DE949,2004.0,967.2,13.07,74.00153022188218,4.304085771664452,-0.014981341509114898
3454,DE949,2005.0,1039.0,13.12,79.19207317073172,4.371876207583284,0.06779043591883216
3454,DE949,2006.0,980.1,13.81,70.97031136857349,4.262261639853933,-0.10961456772935119
3454,DE949,2007.0,1018.9,14.35,71.00348432055749,4.262728950774609,0.0004673109206763115
3454,DE949,2008.0,1039.9,14.71,70.69340584636302,4.258352299052841,-0.0043766517217687095
3454,DE949,2009.0,1197.6,15.28,78.37696335078533,4.361530049367044,0.10317775031420329
3454,DE949,2010.0,1277.0,15.86,80.51702395964692,4.388468639825837,0.02693859045879332
3454,DE949,2011.0,1386.3,16.45,84.27355623100304,4.43406812933295,0.045599489507112345
3454,DE949,2012.0,1199.6,16.65,72.04804804804805,4.277333230448401,-0.15673489888454828
3454,DE949,2013.0,1148.1,16.76,68.50238663484485,4.226868586045829,-0.050464644402572034
3454,DE949,2014.0,1203.0,16.61,72.4262492474413,4.282568792349475,0.05570020630364603
3454,DE949,2015.0,1093.8,16.61,65.85189644792294,4.187408227287469,-0.09516056506200599
3454,DE949,2016.0,1092.8,16.39,66.67480170835876,4.199827096060788,0.012418868773318437
3454,DE949,2017.0,1139.8,16.79,67.8856462179869,4.21782461631145,0.01799752025066237
3454,DE949,2018.0,1268.4,17.46,72.64604810996563,4.285598992252736,0.0677743759412861
3454,DE949,2019.0,1155.9,17.71,65.26821005081875,4.17850508850548,-0.10709390374725647
3455,DE94A,1995.0,200.5,3.16,63.449367088607595,4.1502422191478034,
3455,DE94A,1996.0,189.2,3.24,58.395061728395056,4.067231326813539,-0.08301089233426406
3455,DE94A,1997.0,185.3,3.05,60.754098360655746,4.106834542671994,0.03960321585845428
3455,DE94A,1998.0,179.2,3.01,59.53488372093023,4.086562421780045,-0.020272120891948298
3455,DE94A,1999.0,177.8,2.98,59.664429530201346,4.088736022562491,0.0021736007824459946
3455,DE94A,2000.0,173.7,2.94,59.08163265306122,4.078920091896469,-0.009815930666022155
3455,DE94A,2001.0,156.9,2.71,57.89667896678967,4.058660024847377,-0.020260067049092
3455,DE94A,2002.0,146.3,2.6,56.269230769230774,4.030147862998643,-0.028512161848734507
3455,DE94A,2003.0,140.2,2.46,56.99186991869918,4.042908624656218,0.012760761657575337
3455,DE94A,2004.0,140.2,2.4,58.416666666666664,4.06760123724659,0.024692612590372143
3455,DE94A,2005.0,127.5,2.31,55.19480519480519,4.010868840064779,-0.05673239718181122
3455,DE94A,2006.0,141.4,2.3,61.478260869565226,4.118683630527369,0.1078147904625899
3455,DE94A,2007.0,123.3,2.37,52.0253164556962,3.9517304550232586,-0.16695317550411026
3455,DE94A,2008.0,125.8,2.36,53.30508474576271,3.9760317252288213,0.02430127020556272
3455,DE94A,2009.0,119.1,2.4,49.625,3.9044947390073546,-0.07153698622146676
3455,DE94A,2010.0,127.1,2.5,50.839999999999996,3.928683446321253,0.02418870731389866
3455,DE94A,2011.0,130.6,2.6,50.230769230769226,3.9166277718148943,-0.012055674506358915
3455,DE94A,2012.0,137.7,2.61,52.75862068965517,3.965727184400007,0.049099412585112745
3455,DE94A,2013.0,129.9,2.66,48.83458646616541,3.888438800882946,-0.07728838351706102
3455,DE94A,2014.0,136.2,2.63,51.787072243346,3.9471405475257386,0.058701746642792596
3455,DE94A,2015.0,132.5,2.64,50.18939393939394,3.915803728268052,-0.03133681925768661
3455,DE94A,2016.0,148.1,2.64,56.098484848484844,4.027108804115528,0.11130507584747606
3455,DE94A,2017.0,146.1,2.63,55.551330798479086,4.017307472566981,-0.009801331548547232
3455,DE94A,2018.0,141.1,2.81,50.213523131672595,3.916284375513114,-0.1010230970538668
3455,DE94A,2019.0,135.6,3.0,45.199999999999996,3.8110970868381853,-0.10518728867492877
