Kreise_Code,year,EU_Code,gdppc,ln_gdppc,ln_gdppc.d1,tas,tas2,prec,prec2,full05_colddays_f1,full95_hotdays_f1,full05_colddays_f2,full95_hotdays_f2,sq95_hotdays_f1,sq05_colddays_f1,sq95_hotdays_f2,sq05_colddays_f2,full95_wetweeks_f1,full05_dryweeks_f1,full00_dryweeks_f1,sq95_wetweeks_f1,sq05_dryweeks_f1,full95_wetweeks_f2,full05_dryweeks_f2,sq95_wetweeks_f2,sq05_dryweeks_f2,full_mean_precpd,full_std_precpd,sq_mean_precpd,sq_std_precpd,tas_m,tas_m2
1001,1990.0,DEF01,45871.0,10.73358838809481,,9.709841712287782,94.28102607768372,10.545885820608277,111.21570774130667,0.0,23.0,0.0,23.0,61.0,7.0,56.0,8.0,5.0,4.0,2.0,4.0,16.0,5.0,4.0,4.0,6.0,4.3578040581025945,6.066251916146949,4.459391925343914,1.640128515008737,14.860389413927557,220.8311735335702
1001,1991.0,DEF01,45863.0,10.733413970757285,-0.0001744173375257,8.561894937660174,73.30604492353092,8.7750346025422,77.00123227581297,11.0,26.0,9.0,25.0,33.0,7.0,31.0,5.0,6.0,2.0,0.0,7.0,8.0,6.0,2.0,6.0,4.0,3.848699387079912,5.4251415636607705,3.861432200977907,0.2857702065622523,13.695797572025546,187.57487113390084
1001,1992.0,DEF01,42941.0,10.667582359470872,-0.0658316112864128,9.493148396218126,90.11986647261878,8.414303219143887,70.80049866369518,2.0,42.0,2.0,42.0,43.0,1.0,41.0,1.0,1.0,8.0,5.0,2.0,32.0,1.0,8.0,2.0,8.0,3.7231430173203055,5.092655569860376,3.645115502129205,1.1211553759896369,14.302067899323452,204.54914619685835
1001,1993.0,DEF01,41655.0,10.63717668840901,-0.030405671061862,8.085665390874167,65.3779848131803,9.34220536613247,87.27680110299431,11.0,5.0,10.0,5.0,19.0,17.0,19.0,13.0,4.0,4.0,2.0,3.0,16.0,4.0,4.0,3.0,5.0,4.079565662066583,4.88756120965654,3.963901104021108,0.8765803981020971,13.0666549738043,170.73747220444463
1001,1994.0,DEF01,41849.0,10.64182318076953,0.0046464923605196,9.170459211619056,84.0973221519688,10.572109839124304,111.76950645050894,8.0,37.0,6.0,37.0,33.0,3.0,32.0,1.0,4.0,4.0,2.0,5.0,16.0,4.0,4.0,4.0,4.0,4.423476920135694,5.985888708786238,4.498803719757862,1.2708821989920354,14.133323802264961,199.75084169966928
1001,1995.0,DEF01,41226.0,10.62682440425913,-0.0149987765103993,8.802580290722368,77.48541977461389,8.002107516566811,64.03372470669505,15.0,41.0,14.0,41.0,49.0,16.0,45.0,14.0,3.0,9.0,7.0,6.0,36.0,3.0,10.0,6.0,10.0,4.041468442710509,4.932910526924922,4.1270176578556175,1.5678804962104962,14.043734605661802,197.22648167426286
1001,1996.0,DEF01,40416.0,10.606981025150215,-0.0198433791089129,7.185977920071343,51.638278667752864,5.618076753630917,31.562786409688105,35.0,24.0,34.0,23.0,17.0,20.0,13.0,19.0,1.0,4.0,2.0,1.0,16.0,1.0,4.0,1.0,4.0,2.9883386987398506,4.233856122304747,2.85896155965196,1.122924482314005,12.81873468121568,164.31995882740168
1001,1997.0,DEF01,42767.0,10.663522056137513,0.0565410309872937,9.013197009446577,81.23772033109668,8.004563986899951,64.07304462037564,12.0,50.0,13.0,49.0,56.0,8.0,44.0,8.0,2.0,5.0,3.0,2.0,20.0,2.0,6.0,2.0,4.0,3.5894905770851824,6.251439214807024,3.661807090946555,0.929742472586186,13.799988187298332,190.4396739695735
1001,1998.0,DEF01,45022.0,10.714906538174109,0.0513844820365978,8.77690210717941,77.03401059901037,11.937177098311173,142.49619707644476,9.0,11.0,9.0,10.0,30.0,10.0,26.0,10.0,11.0,1.0,0.0,10.0,4.0,10.0,1.0,10.0,0.0,4.608948686606624,5.685180873069737,4.625608663914205,0.6210390958879309,13.924993032871164,193.90543096551048
1001,1999.0,DEF01,42703.0,10.662024454360006,-0.0528820838141026,9.423472374712931,88.80183159697778,11.171104251638075,124.79357020096629,8.0,36.0,8.0,31.0,29.0,2.0,20.0,2.0,7.0,4.0,2.0,7.0,16.0,6.0,4.0,5.0,4.0,4.398072540014991,5.235153784931974,4.43734994849774,0.8120822372820081,14.23332883732442,202.5876497914109
