,1991-2005_hotdays,2011-2020_colddays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays
1001,10.129585690819493,,10.257346231064062,11.780821917808218,13.150684931506849,10.073911853271284,10.347659457979743,10.406207211319032,10.771337288909175,
1003,10.139603232916972,10.455543358946214,10.396767083027186,10.373216245883645,10.281741675814123,10.210785655625513,10.457158499863127,10.379186271796291,10.157763631331303,10.345773874862788
10044,10.153504716108747,10.574268360022087,10.171999260218236,10.30169242089772,10.32008830022075,10.128661374212976,10.375034218450589,10.145739910313901,10.173766816143498,10.215350635008283
1004,10.366855265559408,10.633050150726227,10.239094725314839,10.315828817043544,10.427957391141844,10.320284697508896,10.648781823159048,10.119047619047619,10.40249433106576,10.331597697999452
1051,10.202591713816389,10.375034218450589,10.33035225406096,10.166088702317941,10.184340208067166,10.183410895154667,10.621407062688201,10.104052573932092,10.487404162102957,10.019162332329593
1054,10.160724182523554,10.429783739392281,10.160724182523554,10.220843219565614,10.184340208067166,10.090485330408555,10.392103098437072,10.189309576837417,10.2728285077951,10.156036134683822
1055,10.147837196568718,10.457158499863127,10.166088702317941,10.184340208067166,10.202591713816389,10.019162332329593,10.429783739392281,10.076670317634173,10.377875136911282,10.210785655625513
1056,10.166088702317941,10.429783739392281,10.239094725314839,10.111334185070268,10.202591713816389,10.128661374212976,10.457158499863127,10.104052573932092,10.377875136911282,10.128661374212976
1057,10.14996342355523,10.787576261785912,10.168251645940014,10.497135464793939,10.404731103308077,10.210785655625513,10.402408978921434,10.414364640883978,10.331491712707182,10.537992235163616
1058,10.184340208067166,10.315500685871056,10.184340208067166,10.089563151160664,10.14439773350393,10.128661374212976,10.347659457979743,10.021905805038335,10.323110624315444,10.041152263374485
1059,10.129585690819493,10.539282781275665,10.166088702317941,10.220843219565614,10.239094725314839,10.019162332329593,10.402408978921434,10.076670317634173,10.350492880613363,10.156036134683822
1060,10.257346231064062,10.484533260333972,10.45811279430553,10.239094725314839,10.312100748311735,10.183410895154667,10.840405146454968,10.240963855421686,10.487404162102957,10.539282781275665
1062,10.07483117357182,10.545056149000274,10.184340208067166,10.169800985941208,10.388899032316962,10.128661374212976,10.375034218450589,10.021905805038335,10.350492880613363,10.243768830457409
11000,10.07483117357182,10.402408978921434,10.166088702317941,10.093082679321045,10.147837196568718,10.019162332329593,10.320284697508896,10.021905805038335,10.323110624315444,10.073911853271284
12051,10.50903119868637,10.49586776859504,10.415200562983815,10.373900293255131,10.612170087976539,10.375034218450589,10.703531344100739,10.303776683087028,10.385878489326766,10.385674931129477
12052,10.312100748311735,10.387469084913437,10.366855265559408,10.393412625800549,10.430009149130832,10.183410895154667,10.375034218450589,10.18619934282585,10.569550930996714,10.305028854080792
12060,10.117025292563232,10.347659457979743,10.211400528501322,10.129585690819493,10.184340208067166,10.080645161290322,10.311059907834101,10.021905805038335,10.350492880613363,10.046537092800438
12061,10.12905748924521,10.320284697508896,10.246382479468126,10.166088702317941,10.147837196568718,10.218978102189782,10.279805352798054,10.049288061336254,10.487404162102957,10.019162332329593
12063,10.111334185070268,10.575599008537592,10.220843219565614,10.275229357798166,10.403669724770642,10.156036134683822,10.375034218450589,10.233196159122086,10.699588477366255,10.548058386119527
