Station_ID,von_datum,bis_datum,Haversine,Kreise_Code,recocap_rad,reco_diff_rad,elevation,Stationshoehe[m],elevation_selection
400.0,19610101.0,20230213.0,14.80351644,11000.0,16.7980819,1.994565465,34.0,60.0,26.0
435.0,19640101.0,20061231.0,14.41953276,11000.0,16.7980819,2.378549139,34.0,45.0,11.0
399.0,19750101.0,20150630.0,1.180157837,11000.0,16.7980819,15.61792406,34.0,35.8,1.7999999999999972
433.0,19480101.0,20230213.0,5.580677427,11000.0,16.7980819,11.21740447,34.0,47.72,13.72
430.0,19630101.0,20210505.0,7.553275754,11000.0,16.7980819,9.244806146,34.0,35.47,1.4699999999999989
403.0,19500101.0,20230213.0,9.188713478,11000.0,16.7980819,7.609368423,34.0,51.0,17.0
432.0,19780401.0,19941231.0,11.59540526,11000.0,16.7980819,5.202676637,34.0,36.0,2.0
416.0,19820701.0,19960930.0,12.35268641,11000.0,16.7980819,4.445395495,34.0,47.0,13.0
314.0,19360101.0,20230213.0,5.829964074,14625.0,27.60913342,21.77916935,204.0,220.5,16.5
320.0,18790101.0,20230213.0,4.717438068,9472.0,20.10153034,15.38409228,340.0,339.75,-0.25
320.0,18790101.0,20230213.0,4.836747163,9462.0,10.0,5.163252837,340.0,339.75,-0.25
320.0,18790101.0,20230213.0,15.78568348,9477.0,14.52911938,-1.256564095,304.0,339.75,35.75
2750.0,19490101.0,20230213.0,19.12609861,9477.0,14.52911938,-4.596979223,304.0,308.0,4.0
5434.0,19510101.0,19920531.0,15.18107459,9477.0,14.52911938,-0.651955205,304.0,317.0,13.0
4125.0,18970101.0,20061130.0,14.05220225,9172.0,16.35424348,2.302041235,467.0,462.5,-4.5
7424.0,20061201.0,20230213.0,17.27101139,9172.0,16.35424348,-0.916767904,467.0,456.5,-10.5
918.0,19871001.0,19950731.0,5.685495082,6411.0,10.0,4.314504918,144.0,134.5,-9.5
917.0,19950801.0,20230213.0,0.566433301,6411.0,10.0,9.433566699,144.0,162.0,18.0
918.0,19871001.0,19950731.0,12.91569654,6433.0,11.96223867,-0.953457877,89.0,134.5,45.5
1420.0,19490101.0,20230213.0,12.11482218,6433.0,11.96223867,-0.152583511,89.0,105.85,16.849999999999994
5906.0,19360101.0,20230213.0,14.60416121,8221.0,10.0,-4.604161214,114.0,97.025,-16.974999999999994
2080.0,19350101.0,20120912.0,2.326521482,8221.0,10.0,7.673478518,114.0,110.5,-3.5
5906.0,19360101.0,20230213.0,9.558389005,7314.0,10.0,0.441610995,96.0,97.025,1.0250000000000057
5906.0,19360101.0,20230213.0,6.844887083,8222.0,10.0,3.155112917,97.0,97.025,0.0250000000000056
435.0,19640101.0,20061231.0,29.50500687,12069.0,28.70036472,-0.804642144,32.0,45.0,13.0
3987.0,18930101.0,20230213.0,17.73126785,12069.0,28.70036472,10.96909687,32.0,80.93,48.93000000000001
3988.0,18930101.0,20191231.0,17.82113508,12069.0,28.70036472,10.87922964,32.0,81.0,49.0
4397.0,19780201.0,20051231.0,16.4906866,7134.0,15.68262906,-0.808057543,397.0,410.1,13.100000000000025
736.0,19350101.0,19991231.0,4.144722858,7134.0,15.68262906,11.5379062,397.0,392.5,-4.5
7135.0,19510101.0,20041231.0,16.87982974,8426.0,21.21815059,4.338320846,533.0,565.3333333,32.33333330000005
4433.0,19870101.0,20041231.0,11.32368307,8426.0,21.21815059,9.894467522,533.0,519.0,-14.0
6258.0,20030101.0,20230213.0,16.73393889,8436.0,22.80336188,6.069422988,450.0,461.0,11.0
