,1991-2005_hotdays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays,2011-2020_colddays
12061,10.168165819319515,10.305044974579586,10.07483117357182,10.202591713816389,10.097323600973237,10.249391727493917,10.049288061336254,10.323110624315444,10.073911853271284,10.347659457979743
12063,10.220843219565614,10.220843219565614,10.36697247706422,10.256880733944953,10.046537092800438,10.402408978921434,10.342935528120714,10.699588477366255,10.190030294684659,10.410355274029193
12064,10.31650641025641,10.376602564102564,10.111334185070268,10.33035225406096,10.134501094776352,10.259618392242727,10.052471692902513,10.356255178127588,10.128661374212976,10.347659457979743
12065,10.169804355850868,10.243632336655592,10.07483117357182,10.257346231064062,10.105790645879733,10.551224944320714,10.18619934282585,10.350492880613363,10.101286613742129,10.347659457979743
12066,10.31403053874964,10.400460962258714,10.129585690819493,10.202591713816389,10.516717325227964,10.699088145896656,10.076670317634173,10.46002190580504,10.046537092800438,10.347659457979743
12067,10.111334185070268,10.257346231064062,10.147837196568718,10.202591713816389,10.073911853271284,10.484533260333972,10.049288061336254,10.43263964950712,10.128661374212976,10.402408978921434
12068,10.111334185070268,10.202591713816389,10.147837196568718,10.257346231064062,10.046537092800438,10.347659457979743,10.021905805038335,10.350492880613363,10.019162332329593,10.347659457979743
12069,10.093082679321045,10.202591713816389,10.184340208067166,10.293849242562512,10.128661374212976,10.347659457979743,10.049288061336254,10.323110624315444,10.101286613742129,10.402408978921434
12072,10.245812486404176,10.267565803785077,10.133284644878584,10.224575497535147,10.104655359076146,10.393359797906893,10.104052573932092,10.350492880613363,10.052040536839222,10.380717611613257
12073,10.18619934282585,10.313983205549471,10.111334185070268,10.312100748311735,10.021905805038335,10.569550930996714,10.076670317634173,10.43263964950712,10.101286613742129,10.402408978921434
13004,10.09492515516612,10.313983205549471,10.291689598238856,10.365070629242341,10.128661374212976,10.402408978921434,10.271158586688578,10.545056149000274,10.427586206896551,10.372413793103448
13071,10.093082679321045,10.147837196568718,10.07483117357182,10.166088702317941,10.019162332329593,10.347659457979743,10.076670317634173,10.377875136911282,10.019162332329593,10.320284697508896
13072,10.093082679321045,10.166088702317941,10.202591713816389,10.293849242562512,10.073911853271284,10.347659457979743,10.104052573932092,10.46002190580504,10.101286613742129,10.375034218450589
13073,10.07483117357182,10.166088702317941,10.07483117357182,10.147837196568718,10.019162332329593,10.320284697508896,10.049288061336254,10.323110624315444,10.046537092800438,10.347659457979743
13074,10.07483117357182,10.202591713816389,10.291689598238856,10.365070629242341,10.156036134683822,10.320284697508896,10.240963855421686,10.514786418400876,10.427586206896551,10.372413793103448
13075,10.111334185070268,10.147837196568718,10.093082679321045,10.166088702317941,10.019162332329593,10.375034218450589,10.021905805038335,10.323110624315444,10.046537092800438,10.347659457979743
13076,10.07483117357182,10.147837196568718,10.129585690819493,10.147837196568718,10.019162332329593,10.347659457979743,10.021905805038335,10.350492880613363,10.019162332329593,10.402408978921434
14524,10.16052880075543,10.19830028328612,10.147837196568718,10.184340208067166,10.238711532930687,10.209951107276387,10.071350164654227,10.236004390779364,10.019162332329593,10.347659457979743
14612,10.093082679321045,10.147837196568718,10.07483117357182,10.147837196568718,10.128661374212976,10.402408978921434,10.076670317634173,10.350492880613363,10.019162332329593,10.320284697508896
14625,10.133630289532293,10.189309576837417,10.07483117357182,10.220843219565614,10.078607523862999,10.47164514317799,10.076670317634173,10.377875136911282,10.019162332329593,10.457158499863127
14713,10.266715381804897,10.303251735476799,10.291155466031862,10.309467130562169,10.210785655625513,10.594032302217355,10.26344676180022,10.4006586169045,10.280373831775702,10.362836723474436
14730,10.452961672473867,10.403185664509706,10.338517840805123,10.356816102470265,10.401459854014599,10.903284671532846,10.131434830230011,10.542168674698795,10.305028854080792,10.359989007969222
15002,10.111334185070268,10.275597736813287,10.233310233310233,10.21021021021021,10.073911853271284,10.457158499863127,10.019214932747735,10.376063683777106,10.19108280254777,10.310509554140127
15082,10.147837196568718,10.202591713816389,10.111334185070268,10.147837196568718,10.073911853271284,10.375034218450589,10.049288061336254,10.377875136911282,10.046537092800438,10.429783739392281
